n,t,S_L2,S_core,peak,umin,mass_u,peak_v,mass_v,xc,yc,R_0_5,R_0_8
128,9.42355889724311e-05,862.4462505634632,862.4414768897152,46116.50494318125,6.040678772601597e-15,31.415926530267097,414.17577189340335,31.415639335141286,1.4994500530030787e-17,0.0,0.012352647110032727,0.01991804497497183
128,9.473684210526318e-05,867.0973932054765,867.0928389869664,46466.72612391918,6.088231945180759e-15,31.415926530267093,414.15713878415613,31.415639335285242,1.5718506311350252e-17,0.0,0.012352647110032727,0.019918044974971832
128,9.523809523809525e-05,871.7239988619102,871.7194777562563,46815.30342871917,6.136094583650916e-15,31.415926530267093,414.13856465301495,31.415639335429205,1.574419457183702e-17,0.0,0.012352647110032727,0.019918044974971818
128,9.573934837092733e-05,876.3257899504624,876.3214754638927,47162.20630372008,6.18426857148242e-15,31.415926530267093,414.1200479600501,31.41563933557316,1.5434744891042296e-17,0.0,0.012352647110032727,0.019918044974971818
128,9.624060150375941e-05,880.9024977958782,880.8983796914533,47507.40508510959,6.232755802368256e-15,31.415926530267093,414.1015871670715,31.41563933571711,1.4929314324695376e-17,0.0,0.012352647110032727,0.019918044974971818
128,9.674185463659149e-05,885.4538625834442,885.4499311638456,47850.87099637216,6.28155818027948e-15,31.415926530267093,414.08318073819356,31.415639335861073,1.499540004504067e-17,0.0,0.012352647110032727,0.019918044974971818
128,9.724310776942357e-05,889.9796333100836,889.9758793877988,48192.57614510889,6.330677619520903e-15,31.415926530267097,414.0648271403886,31.41563933600503,1.579665769873009e-17,0.0,0.012352647110032727,0.019918044974971818
128,9.774436090225565e-05,894.4795677331348,894.4759826023487,48532.493519441254,6.380116044786989e-15,31.4159265302671,414.04652484402953,31.41563933614899,1.601860695864211e-17,0.0,0.012352647110032726,0.019918044974971818
128,9.824561403508773e-05,898.9534323168938,898.9500077269827,48870.5969840112,6.429875391217995e-15,31.41592653026709,414.0282723234206,31.415639336292944,1.573477498917231e-17,0.0,0.012352647110032727,0.019918044974971818
128,9.874686716791981e-05,903.401002176991,903.3977303075296,49206.86127558928,6.479957604456331e-15,31.415926530267093,414.01006805731726,31.4156393364369,1.6204842068601027e-17,0.0,0.012352647110032726,0.019918044974971818
128,9.92481203007519e-05,907.822061022679,907.8189344598687,49541.26199830293,6.530364640703166e-15,31.415926530267097,413.991910529434,31.41563933658086,1.62672096460367e-17,0.0,0.012352647110032726,0.019918044974971818
128,9.974937343358398e-05,912.2164010970858,912.2132996892341,49873.77561849639,6.581098466775249e-15,31.415926530267086,413.97379822894084,31.415639336724812,1.6859241774283983e-17,0.0,0.012352647110032726,0.019918044974971814
128,0.00010025062656641606,916.5838231155057,916.580858615045,50204.37945923418,6.632161060161993e-15,31.415926530267097,413.9557296509477,31.41563933686877,1.6530571465069136e-17,0.0,0.012352647110032726,0.019918044974971814
128,0.00010075187969924814,920.9241362017788,920.9213020218581,50533.051694459224,6.68355440908277e-15,31.415926530267093,413.9377032969773,31.415639337012728,1.5126127752934262e-17,0.0,0.012352647110032727,0.019918044974971814
128,0.00010125313283208022,925.2371578228154,925.2344477154268,50859.7713428173,6.735280512544457e-15,31.415926530267097,413.91971767542594,31.41563933715668,1.5258771140042715e-17,0.0,0.012352647110032727,0.019918044974971814
128,0.0001017543859649123,929.52271372132,929.5201217589383,51184.51826115904,6.7873413803992205e-15,31.415926530267093,413.9017713020124,31.41563933730064,1.513094364470474e-17,0.0,0.012352647110032727,0.019918044974971814
128,0.00010225563909774437,933.7806378467552,933.7781584050156,51507.27313773039,6.83973903340254e-15,31.41592653026709,413.8838627002147,31.415639337444595,1.444560401346856e-17,0.0,0.012352647110032727,0.019918044974971814
128,0.00010275689223057645,938.0107722846035,938.0084000259492,51828.01748506277,6.892475503271472e-15,31.41592653026709,413.8659904016953,31.41563933758855,1.4154267584093064e-17,0.0,0.012352647110032727,0.019918044974971814
128,0.00010325814536340853,942.2129671839581,942.2106970422104,52146.73363257374,6.9455528327431625e-15,31.415926530267097,413.8481529467136,31.415639337732507,1.3519129433118788e-17,0.0,0.012352647110032727,0.019918044974971814
128,0.00010375939849624061,946.3870806834955,946.3849078492863,52463.404718889076,6.998973075633599e-15,31.415926530267093,413.83034888452687,31.415639337876467,1.3199844406607137e-17,0.0,0.012352647110032727,0.019918044974971814
128,0.0001042606516290727,950.5329788358616,950.5308987428814,52778.014683896814,7.052738296896616e-15,31.41592653026709,413.8125767737792,31.415639338020423,1.305003356784938e-17,0.0,0.012352647110032727,0.019918044974971814
128,0.00010476190476190478,954.6505355305155,954.6484027447194,53090.54826054402,7.106850572683135e-15,31.41592653026709,413.7948351828779,31.415639338164375,1.2249116649233789e-17,0.0,0.012352647110032727,0.0199180449749718
128,0.00010526315789473686,958.7396324150639,958.7375903012204,53400.990966386664,7.16131199040067e-15,31.41592653026709,413.7771226903584,31.41563933830833,1.2358996668874292e-17,0.0,0.012352647110032727,0.0199180449749718
128,0.00010576441102756894,962.8001588151254,962.7982031506853,53709.32909490306,7.216124648773077e-15,31.415926530267093,413.7594378852371,31.415639338452294,1.1662843677425138e-17,0.0,0.012352647110032729,0.019918044974971807
128,0.00010626566416040102,966.8320116527585,966.8301384264086,54015.549706581245,7.271290657900544e-15,31.415926530267082,413.74177936735185,31.415639338596243,1.1819420670732505e-17,0.0,0.012352647110032729,0.019918044974971807
128,0.0001067669172932331,970.8350953634875,970.8333007639709,54319.640619790225,7.326812139319854e-15,31.41592653026709,413.72414574769107,31.4156393387402,1.202400439174658e-17,0.0,0.012352647110032727,0.019918044974971807
128,0.00010726817042606518,974.8093218119608,974.8076022175153,54621.59040144558,7.382691226064885e-15,31.415926530267097,413.7065356487107,31.41563933888416,1.1875593484570067e-17,0.0,0.01235264711003272,0.019918044974971807
128,0.00010776942355889726,978.7546102062772,978.7529621746556,54921.3883574792,7.438930062727382e-15,31.415926530267093,413.6889477046394,31.41563933902811,1.170848005056064e-17,0.0,0.01235264711003272,0.019918044974971807
128,0.00010827067669172934,982.6708870110098,982.6693072700517,55219.02452312302,7.495530805517971e-15,31.415926530267097,413.6713805617722,31.415639339172067,1.1813118798715104e-17,0.0,0.01235264711003272,0.019918044974971807
128,0.00010877192982456141,986.5580858589658,986.5565712976853,55514.489653016826,7.552495622327441e-15,31.415926530267093,413.65383287875216,31.41563933931602,1.1520103261822832e-17,0.0,0.01235264711003272,0.019918044974971807
128,0.0001092731829573935,990.4161474617129,990.4146951218773,55807.77521114955,7.609826692788287e-15,31.415926530267093,413.6363033268409,31.41563933945998,1.2493608123600328e-17,0.0,0.01235264711003272,0.0199180449749718
128,0.00010977443609022559,994.2450195189099,994.2409375851729,56098.87336064391,7.667526208336511e-15,31.41592653026709,413.6187905901774,31.415639339603935,1.1555044630453761e-17,0.0,0.01235264711003272,0.016572815184059717
