seed,d,method,t,total_mass,moment_m,local_mass_B,N_active,N_local_B,global_nESS,local_nESS_B,max_w_over_mean_w,runtime_s
2,4,minvar,1.5,1.7836,0.755242000394392,0.76615,35672,15323,nan,nan,nan,15.68328309059143
2,4,weighted,1.6,1.8037618803213085,0.7556954971003612,0.7582933078847176,20000,3611,0.5754744526201966,0.8574497541579625,5.1530915121612635,15.68328309059143
2,4,poisson,1.6,1.80795,0.7550768868878992,0.762,36159,15240,nan,nan,nan,15.68328309059143
2,4,minvar,1.6,1.80695,0.7554421155581956,0.7657,36139,15314,nan,nan,nan,15.68328309059143
2,4,weighted,1.7,1.8242869649591735,0.7558426133493868,0.7578512179050994,20000,3379,0.5477321183129844,0.8490854014377779,5.607764210059982,15.68328309059143
2,4,poisson,1.7,1.8285,0.7540496894686487,0.75925,36570,15185,nan,nan,nan,15.68328309059143
2,4,minvar,1.7,1.8272,0.7548738401586413,0.7623,36544,15246,nan,nan,nan,15.68328309059143
2,4,weighted,1.8,1.8438420032533165,0.7553863372056228,0.7566932836209265,20000,3171,0.5204157333612272,0.83829649745503,6.103098455914699,15.68328309059143
2,4,poisson,1.8,1.84765,0.7535862935636645,0.75625,36953,15125,nan,nan,nan,15.68328309059143
2,4,minvar,1.8,1.84905,0.7550719113359763,0.76305,36981,15261,nan,nan,nan,15.68328309059143
2,4,weighted,1.9000000000000001,1.862276892749578,0.7568027298607192,0.7595011946131388,20000,2987,0.4937024703190567,0.828113857234883,6.627313064276912,15.68328309059143
2,4,poisson,1.9000000000000001,1.8663,0.7539589620453324,0.7584,37326,15168,nan,nan,nan,15.68328309059143
2,4,minvar,1.9000000000000001,1.8657,0.7545368475177359,0.7592,37314,15184,nan,nan,nan,15.68328309059143
2,4,weighted,2.0,1.8796491821289627,0.7565203994161535,0.7622521337097836,20000,2818,0.46773158699813694,0.8177339967529615,7.206331877574234,15.68328309059143
2,4,poisson,2.0,1.88205,0.7521862008867353,0.757,37641,15140,nan,nan,nan,15.68328309059143
2,4,minvar,2.0,1.884,0.7545777467780824,0.75945,37680,15189,nan,nan,nan,15.68328309059143
0,6,weighted,0.0,1.0,0.26579869798797157,0.14405,20000,2881,1.0,1.0,1.0,21.425246953964233
0,6,poisson,0.0,1.0,0.2657986979879715,0.14405,20000,2881,nan,nan,nan,21.425246953964233
0,6,minvar,0.0,1.0,0.2657986979879715,0.14405,20000,2881,nan,nan,nan,21.425246953964233
0,6,weighted,0.1,1.070554997848116,0.29941113755841303,0.17814693441128687,20000,2856,0.9920633680210362,0.9980419876377421,1.360741735166327,21.425246953964233
0,6,poisson,0.1,1.0717,0.2998457826803497,0.1761,21434,3522,nan,nan,nan,21.425246953964233
0,6,minvar,0.1,1.0742,0.30028028299504883,0.17555,21484,3511,nan,nan,nan,21.425246953964233
0,6,weighted,0.2,1.1458709886786809,0.3338736351062448,0.20917764004581482,20000,2716,0.9686483475858659,0.992202571768392,1.8155638427425216,21.425246953964233
0,6,poisson,0.2,1.14445,0.33229725045101566,0.2098,22889,4196,nan,nan,nan,21.425246953964233
0,6,minvar,0.2,1.1515,0.3356414572823928,0.20955,23030,4191,nan,nan,nan,21.425246953964233
0,6,weighted,0.3,1.22443491803362,0.36879582199229594,0.24751674762764483,20000,2641,0.9314640863599196,0.9822983885604194,2.36624318647767,21.425246953964233
0,6,poisson,0.3,1.22005,0.36596789419398673,0.2437,24401,4874,nan,nan,nan,21.425246953964233
0,6,minvar,0.3,1.23545,0.3729024165599972,0.24845,24709,4969,nan,nan,nan,21.425246953964233
0,6,weighted,0.4,1.3046623645132094,0.4035709441571039,0.28456200202169674,20000,2518,0.8833882632840485,0.9693298578970945,3.014807655075576,21.425246953964233
0,6,poisson,0.4,1.302,0.40162553713464755,0.2828,26040,5656,nan,nan,nan,21.425246953964233
0,6,minvar,0.4,1.3196,0.41018581538111604,0.2879,26392,5758,nan,nan,nan,21.425246953964233
0,6,weighted,0.5,1.384987616319609,0.4376826841331424,0.3231349048735591,20000,2404,0.8278918766126572,0.9525183973266599,3.7482747920344197,21.425246953964233
0,6,poisson,0.5,1.3818,0.43437303520328513,0.31945,27636,6389,nan,nan,nan,21.425246953964233
0,6,minvar,0.5,1.3973,0.442952585532203,0.3276,27946,6552,nan,nan,nan,21.425246953964233
0,6,weighted,0.6,1.4639006319776617,0.47000849016059576,0.36066610799954035,20000,2285,0.7685176201176277,0.9331695336339928,4.566065138579798,21.425246953964233
0,6,poisson,0.6,1.4628,0.46654572890295287,0.3572,29256,7144,nan,nan,nan,21.425246953964233
0,6,minvar,0.6,1.47425,0.4745168686633329,0.36205,29485,7241,nan,nan,nan,21.425246953964233
0,6,weighted,0.7000000000000001,1.5401309386044988,0.4999597241675302,0.39680677592396923,20000,2162,0.7082231736055008,0.9118799281173591,5.461950025047456,21.425246953964233
0,6,poisson,0.7000000000000001,1.54055,0.4967778030018311,0.39325,30811,7865,nan,nan,nan,21.425246953964233
0,6,minvar,0.7000000000000001,1.5527,0.5040495878941252,0.3976,31054,7952,nan,nan,nan,21.425246953964233
0,6,weighted,0.8,1.612677632020501,0.5263835400209326,0.4273841312983479,20000,2021,0.6493456365012217,0.8887095744072622,6.4854292875712645,21.425246953964233
0,6,poisson,0.8,1.6143,0.5233316569089022,0.42225,32286,8445,nan,nan,nan,21.425246953964233
0,6,minvar,0.8,1.62075,0.5278501625181617,0.42515,32415,8503,nan,nan,nan,21.425246953964233
0,6,weighted,0.9,1.6809235100880535,0.5492737082957401,0.45172615612666467,20000,1857,0.5932039827509932,0.86841899961659,7.703720451957553,21.425246953964233
0,6,poisson,0.9,1.6797,0.5449392715621839,0.44695,33594,8939,nan,nan,nan,21.425246953964233
0,6,minvar,0.9,1.68915,0.5510825334556391,0.45205,33783,9041,nan,nan,nan,21.425246953964233
