seed,method,m,group,is_late,amplitude,local_eff,E_m,local_L2
1,weighted_ess_resample_costmatched,2,0,0,1.0,527.9999999999999,0.002354183603270448,0.29202461409722513
1,weighted_ess_resample_costmatched,3,1,0,1.0,789.0000000000001,0.19532687890948716,0.31487117380208013
1,weighted_ess_resample_costmatched,4,2,0,1.0,1260.9999999999352,0.005962310486470312,0.18556015849422178
1,weighted_ess_resample_costmatched,5,3,1,1.0,405.848777324836,0.04448853055752892,0.3687023266213939
1,weighted_ess_resample_costmatched,6,2,0,1.0,1280.9999999999372,0.009803579493919544,0.15863689698481234
1,weighted_ess_resample_costmatched,7,3,1,1.0,449.2472567097155,0.07462961879912809,0.3848329063115899
1,weighted_ess_resample_costmatched,8,0,0,1.0,534.9999999999999,0.010872181386837614,0.26609233822437195
1,weighted_ess_resample_costmatched,9,1,0,1.0,628.0,0.04858646393516079,0.2281580391015666
1,weighted_ess_resample_costmatched,10,0,0,1.0,542.0,0.024098546376946132,0.28081742080821265
1,weighted_ess_resample_costmatched,11,1,0,1.0,585.0,0.11373102134087429,0.2619531959907769
1,weighted_ess_resample_costmatched,12,2,0,1.0,1423.9999999999338,0.12252951731598115,0.2337916559389557
1,weighted_ess_resample_costmatched,13,3,1,1.0,463.097307843305,0.10741930835709762,0.31011565420461185
1,weighted_ess_resample_costmatched,14,2,0,1.0,1490.99999999993,0.17534516727153976,0.32004641645941717
1,weighted_ess_resample_costmatched,15,3,1,1.0,322.1727792314295,0.274266089966047,0.38583282082831
2,minvar_branch,0,0,0,1.0,756.0,0.004119684530858337,0.23435003283895073
2,minvar_branch,1,1,0,1.0,1177.0,0.25345101800656333,0.3666548404020026
2,minvar_branch,2,0,0,1.0,553.0,0.26550504557465004,0.3580317043793684
2,minvar_branch,3,1,0,1.0,912.0,0.02876182801870367,0.22664341327224774
2,minvar_branch,4,2,0,1.0,1784.0,0.011439191382106317,0.15365611172557053
2,minvar_branch,5,3,1,1.0,1522.0,0.23030456085766748,0.35623276910756807
2,minvar_branch,6,2,0,1.0,1630.0,0.0967745975071937,0.16659596720150452
2,minvar_branch,7,3,1,1.0,2095.0,0.0594690834449321,0.2754678296465152
2,minvar_branch,8,0,0,1.0,718.0,0.046351939823867656,0.18918012315841964
2,minvar_branch,9,1,0,1.0,1174.0,0.2502561555987306,0.29853717260215845
2,minvar_branch,10,0,0,1.0,648.0,0.13932598468783566,0.2580441534930375
2,minvar_branch,11,1,0,1.0,829.0,0.11715302130208899,0.22474427673421074
2,minvar_branch,12,2,0,1.0,1355.0,0.24915925130199232,0.31674557985115565
2,minvar_branch,13,3,1,1.0,2341.0,0.1838745223601817,0.3740342394294404
2,minvar_branch,14,2,0,1.0,1383.0,0.2336437229156127,0.29870331199801214
2,minvar_branch,15,3,1,1.0,1262.0,0.36178998410143126,0.4612156059443761
2,weighted,0,0,0,1.0,29.015862744989654,0.24650279124237046,1.385069598444567
2,weighted,1,1,0,1.0,22.91401879051875,0.13251660004398227,1.240235349090434
2,weighted,2,0,0,1.0,21.47141021469943,0.19201481903227552,1.1545561733940632
2,weighted,3,1,0,1.0,39.42658529310917,0.13430586956943066,1.0059974973794963
2,weighted,4,2,0,1.0,21.210462991505125,0.15892816365194132,1.0954903024494915
2,weighted,5,3,1,1.0,31.973296338938056,0.03229466164477763,1.0161351770669103
2,weighted,6,2,0,1.0,27.937408083993923,0.13475981151739355,1.2328037222242259
2,weighted,7,3,1,1.0,33.09841483792454,0.06647910599868363,1.0526716820699045
2,weighted,8,0,0,1.0,24.79807516756499,0.33863865747332234,0.9389152557000391
2,weighted,9,1,0,1.0,25.88743241976678,0.11955946848892612,1.1407167985010085
2,weighted,10,0,0,1.0,27.49035028023394,0.1951377900802869,1.3931208105139548
2,weighted,11,1,0,1.0,25.347696766652767,0.14614432875020197,0.9950357835801992
2,weighted,12,2,0,1.0,29.06454343809825,0.10259620070664831,1.5680255121169038
2,weighted,13,3,1,1.0,45.82154074461247,0.18027391501696788,1.0132081073393984
2,weighted,14,2,0,1.0,29.03887946520484,0.07723053322051848,1.2277142173227622
2,weighted,15,3,1,1.0,36.654213203652894,0.03452080279413145,0.7703957637156966
2,weighted_ess_resample,0,0,0,1.0,359.9999999999999,0.11620817370045053,0.3926346863104759
2,weighted_ess_resample,1,1,0,1.0,372.00000000000006,0.07518927711300871,0.3255998855577373
2,weighted_ess_resample,2,0,0,1.0,291.9999999999999,0.0946311479985235,0.352069712336809
2,weighted_ess_resample,3,1,0,1.0,291.00000000000006,0.27655935387066,0.3929267785155672
2,weighted_ess_resample,4,2,0,1.0,697.9999999999701,0.0970922108839605,0.2613313305992372
2,weighted_ess_resample,5,3,1,1.0,214.470653613337,0.2157412103337537,0.497009768632647
2,weighted_ess_resample,6,2,0,1.0,1055.9999999999602,0.3660037768717796,0.4644809975785315
2,weighted_ess_resample,7,3,1,1.0,265.5028492121677,0.009679846111697669,0.4947708469959704
2,weighted_ess_resample,8,0,0,1.0,289.99999999999994,0.10083230451908176,0.3662489103327345
2,weighted_ess_resample,9,1,0,1.0,446.9999999999999,0.11126449766259475,0.33744478356427193
2,weighted_ess_resample,10,0,0,1.0,312.0,0.032619582792942796,0.3788360834321849
2,weighted_ess_resample,11,1,0,1.0,388.0,0.035412471827546296,0.37743520653309703
2,weighted_ess_resample,12,2,0,1.0,892.9999999999656,0.1551528239694024,0.34306590085853683
