seed,method,m,group,is_late,amplitude,cx,cy,M_ref,M_method,E_m,local_L2,local_eff
2,minvar_branch,8,0,0,1.0,-2.356194490192345,0.7853981633974483,1.4861616682098329,1.417275191996432,0.046351939823867656,0.18918012315841964,718.0
2,minvar_branch,9,1,0,1.0,-0.7853981633974483,0.7853981633974483,1.853526657716009,2.3173831133757816,0.2502561555987306,0.29853717260215845,1174.0
2,minvar_branch,10,0,0,1.0,0.7853981633974483,0.7853981633974483,1.4861616682098324,1.279100730381181,0.13932598468783566,0.2580441534930375,648.0
2,minvar_branch,11,1,0,1.0,2.356194490192345,0.7853981633974483,1.853526657716009,1.6363804097006156,0.11715302130208899,0.22474427673421074,829.0
2,minvar_branch,12,2,0,1.0,-2.356194490192345,2.356194490192345,3.562223810219683,2.6746627926952162,0.24915925130199232,0.31674557985115565,1355.0
2,minvar_branch,13,3,1,1.0,-0.7853981633974483,2.356194490192345,3.9032420187383354,4.620948780590038,0.1838745223601817,0.3740342394294404,2341.0
2,minvar_branch,14,2,0,1.0,0.7853981633974483,2.356194490192345,3.5622238102196824,2.729932577341317,0.2336437229156127,0.29870331199801214,1383.0
2,minvar_branch,15,3,1,1.0,2.356194490192345,2.356194490192345,3.903242018738335,2.4910881508349543,0.36178998410143126,0.4612156059443761,1262.0
2,weighted,0,0,0,1.0,-2.356194490192345,-2.356194490192345,1.4861616682098324,1.8525046676609738,0.24650279124237046,1.385069598444567,29.015862744989654
2,weighted,1,1,0,1.0,-0.7853981633974483,-2.356194490192345,1.8535266577160097,1.607903606944598,0.13251660004398227,1.240235349090434,22.91401879051875
2,weighted,2,0,0,1.0,0.7853981633974483,-2.356194490192345,1.4861616682098326,1.200796604435817,0.19201481903227552,1.1545561733940632,21.47141021469943
2,weighted,3,1,0,1.0,2.356194490192345,-2.356194490192345,1.8535266577160097,2.102466167250679,0.13430586956943066,1.0059974973794963,39.42658529310917
2,weighted,4,2,0,1.0,-2.356194490192345,-0.7853981633974483,3.5622238102196824,2.9960861215442467,0.15892816365194132,1.0954903024494915,21.210462991505125
