seed,method,m,amplitude,local_eff,E_m
2,poisson_branch,14,0.9043291419087274,20680.0,0.2530300610668967
2,poisson_branch,15,0.9999999999999999,28143.0,0.19719289682442984
3,weighted,0,1.0956708580912724,19.981965628059417,0.6509681315149568
3,weighted,1,1.176776695296637,19.102088801998846,0.5038893575307096
3,weighted,2,1.2309698831278217,12.849132483538954,0.01670922524776162
3,weighted,3,1.25,5.186024580819472,0.41746753601683284
3,weighted,4,1.2309698831278217,16.133756138293226,0.17330034145706538
3,weighted,5,1.176776695296637,15.560018566855053,0.031829225895971806
3,weighted,6,1.0956708580912724,13.769079477804231,0.1739836816938958
3,weighted,7,1.0,19.16577572922152,0.1788311524071872
3,weighted,8,0.9043291419087276,21.74967317600275,0.08816819437599391
3,weighted,9,0.8232233047033631,26.7959655289137,0.3785428047174138
3,weighted,10,0.7690301168721784,20.09964305607534,0.27245345935429616
3,weighted,11,0.75,19.980827279129063,0.2544950937162872
3,weighted,12,0.7690301168721784,29.444792880060213,0.4439928996939635
3,weighted,13,0.823223304703363,22.43609860417557,0.08757059467061316
3,weighted,14,0.9043291419087274,15.495994469833239,0.284804485413221
3,weighted,15,0.9999999999999999,16.44333518356908,0.03679834349891345
3,weighted_ess_resample,0,1.0956708580912724,1195.749993479076,0.42521726657063474
3,weighted_ess_resample,1,1.176776695296637,1973.283052192384,0.4676765835675887
3,weighted_ess_resample,2,1.2309698831278217,1740.9217798484651,0.0643634276639957
3,weighted_ess_resample,3,1.25,1698.1043991855875,0.16443330707470863
3,weighted_ess_resample,4,1.2309698831278217,2064.7676921084467,0.10752816562539166
3,weighted_ess_resample,5,1.176776695296637,1537.8027319348196,0.1444331767350611
3,weighted_ess_resample,6,1.0956708580912724,668.920163656555,0.2010238489266995
3,weighted_ess_resample,7,1.0,505.5952144372333,0.06669121369466378
3,weighted_ess_resample,8,0.9043291419087276,320.9126013253676,0.15721098266171996
3,weighted_ess_resample,9,0.8232233047033631,207.99597265556739,0.15472319545652857
3,weighted_ess_resample,10,0.7690301168721784,129.65266684967716,0.047741903336285106
3,weighted_ess_resample,11,0.75,116.21235848929898,0.03332855351792614
3,weighted_ess_resample,12,0.7690301168721784,149.59830480631322,0.11981980787223083
3,weighted_ess_resample,13,0.823223304703363,193.53685091226473,0.10056691245419312
3,weighted_ess_resample,14,0.9043291419087274,200.09621944897168,0.318275789787713
3,weighted_ess_resample,15,0.9999999999999999,422.38957671981126,0.11466143567632125
3,minvar_branch,0,1.0956708580912724,84473.0,0.12449515254519858
3,minvar_branch,1,1.176776695296637,180834.0,0.2538927130375403
3,minvar_branch,2,1.2309698831278217,220116.0,0.015673885890688674
3,minvar_branch,3,1.25,213735.0,0.18105875606065383
3,minvar_branch,4,1.2309698831278217,213855.0,0.04367214953548958
3,minvar_branch,5,1.176776695296637,157540.0,0.09237343647721298
3,minvar_branch,6,1.0956708580912724,43314.0,0.42340886392880567
3,minvar_branch,7,1.0,28729.0,0.18047666321527978
3,minvar_branch,8,0.9043291419087276,20824.0,0.2617552220336729
3,minvar_branch,9,0.8232233047033631,10042.0,0.1433472850948148
3,minvar_branch,10,0.7690301168721784,5713.0,0.013010497095148576
3,minvar_branch,11,0.75,5204.0,0.039859705176485793
3,minvar_branch,12,0.7690301168721784,7453.0,0.28759544287585725
3,minvar_branch,13,0.823223304703363,8428.0,0.04041715606647344
3,minvar_branch,14,0.9043291419087274,10852.0,0.34246217491789355
3,minvar_branch,15,0.9999999999999999,39059.0,0.11419687463790625
3,poisson_branch,0,1.0956708580912724,104614.0,0.3926098976994235
3,poisson_branch,1,1.176776695296637,158643.0,0.1000215760001688
3,poisson_branch,2,1.2309698831278217,185134.0,0.1721082029043175
3,poisson_branch,3,1.25,185133.0,0.29064940550577595
3,poisson_branch,4,1.2309698831278217,352524.0,0.5764350571983403
3,poisson_branch,5,1.176776695296637,135756.0,0.058675585613809006
3,poisson_branch,6,1.0956708580912724,49547.0,0.3404358632562343
3,poisson_branch,7,1.0,36187.0,0.03227021435583111
3,poisson_branch,8,0.9043291419087276,25256.0,0.5302962873454881
3,poisson_branch,9,0.8232233047033631,11045.0,0.25754538576700153
3,poisson_branch,10,0.7690301168721784,5103.0,0.11839533811947198
3,poisson_branch,11,0.75,5082.0,0.015481748982878664
3,poisson_branch,12,0.7690301168721784,4269.0,0.26247887486421106
3,poisson_branch,13,0.823223304703363,12000.0,0.3662783729475936
3,poisson_branch,14,0.9043291419087274,10064.0,0.3902081946529377
3,poisson_branch,15,0.9999999999999999,34050.0,0.028689838925197608
5,weighted,0,1.0956708580912724,20.47231914665097,0.13441815744895944
5,weighted,1,1.176776695296637,11.253394941448567,0.37727571814113037
5,weighted,2,1.2309698831278217,15.759249088313457,0.10053589846612543
5,weighted,3,1.25,18.20610175788624,0.24071559205092652
5,weighted,4,1.2309698831278217,10.09268925720655,0.6868664200788525
5,weighted,5,1.176776695296637,18.284960140530472,0.20078225310178985
5,weighted,6,1.0956708580912724,18.50122382082692,0.023121015979889352
5,weighted,7,1.0,18.6645233676815,0.07816682318457448
5,weighted,8,0.9043291419087276,15.21482087612144,0.16821667032279458
5,weighted,9,0.8232233047033631,19.316257070307756,0.160624138972099
5,weighted,10,0.7690301168721784,24.054534400644425,0.09678371908422287
5,weighted,11,0.75,25.58077782107151,0.20437631108715879
5,weighted,12,0.7690301168721784,26.558056435732723,0.061010426441493064
5,weighted,13,0.823223304703363,29.475427015408822,0.25018142299622215
5,weighted,14,0.9043291419087274,20.69393475690651,0.006200196308899768
5,weighted,15,0.9999999999999999,17.467008079385657,0.015878574198385086
5,weighted_ess_resample,0,1.0956708580912724,982.4154137038963,0.03912454812174419
5,weighted_ess_resample,1,1.176776695296637,1183.9733946664564,0.22780065835335792
5,weighted_ess_resample,2,1.2309698831278217,2262.8433912558,0.06093804240190788
5,weighted_ess_resample,3,1.25,2054.3209044850814,0.12225934883510224
5,weighted_ess_resample,4,1.2309698831278217,1705.0276202108057,0.19854213716843974
5,weighted_ess_resample,5,1.176776695296637,1584.5568637816712,0.039075776483271325
5,weighted_ess_resample,6,1.0956708580912724,897.9023045409778,0.04137010389127434
5,weighted_ess_resample,7,1.0,525.2089055333777,0.02902162008333799
5,weighted_ess_resample,8,0.9043291419087276,272.6228853217092,0.10698554841280786
5,weighted_ess_resample,9,0.8232233047033631,229.92978837072224,0.19596531517739346
5,weighted_ess_resample,10,0.7690301168721784,143.80183614299347,0.00010438502422355961
5,weighted_ess_resample,11,0.75,148.90971649229027,0.1875919980843246
5,weighted_ess_resample,12,0.7690301168721784,163.0744976459688,0.15380104394224614
5,weighted_ess_resample,13,0.823223304703363,253.83120948816432,0.33010726352824954
5,weighted_ess_resample,14,0.9043291419087274,280.7103363792875,0.073101352092401
5,weighted_ess_resample,15,0.9999999999999999,479.87037148893353,0.10064666253408182
5,minvar_branch,0,1.0956708580912724,91765.0,0.22156544308015758
